TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,CURRENT,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO,,CHECKSUM
3121,13:00:00,1,F,LAUNCH_PAD,0.1,12.2,82.3,3.7,2.16,0.29,0.16,-4.14,-0.29,-0.58,0.26,13:00:00,465.22,-7.272796,112.792824,11,CXON,,66
3121,13:00:01,2,F,LAUNCH_PAD,0.1,10.3,86.7,3.68,3.0,3.53,1.07,4.24,-2.0,0.48,1.26,13:00:01,758.89,-7.276323,112.794093,5,CXON,,238
3121,13:00:02,3,F,LAUNCH_PAD,0.0,13.8,87.8,3.73,2.75,1.88,-2.95,3.48,-1.07,1.56,1.84,13:00:02,1076.3,-7.276182,112.796162,9,CXON,,62
3121,13:00:03,4,F,LAUNCH_PAD,0.0,8.4,99.5,3.71,3.15,2.84,-3.02,0.32,0.61,2.0,0.37,13:00:03,671.03,-7.271953,112.795541,9,CXON,,245
3121,13:00:04,5,F,LAUNCH_PAD,0.0,30.6,98.7,3.71,2.73,3.2,3.73,-2.22,-0.23,0.97,-0.05,13:00:04,1065.45,-7.278014,112.795211,8,CXON,,55
3121,13:00:05,6,F,LAUNCH_PAD,0.0,-0.9,81.2,4.13,1.64,-0.25,4.64,-2.95,-0.71,1.63,1.02,13:00:05,456.04,-7.279967,112.796024,8,CXON,,45
3121,13:00:06,7,F,LAUNCH_PAD,0.1,10.5,114.0,3.72,2.2,1.42,-4.08,-3.8,1.37,0.96,0.64,13:00:06,921.41,-7.278139,112.791424,11,CXON,,105
3121,13:00:07,8,F,LAUNCH_PAD,0.1,39.0,97.4,3.91,2.94,-0.68,4.91,-2.65,1.78,-1.84,-1.4,13:00:07,359.2,-7.275234,112.789828,4,CXON,,55
3121,13:00:08,9,F,LAUNCH_PAD,0.0,10.2,117.9,4.01,1.74,-0.2,-0.25,-3.24,-1.71,-1.46,1.22,13:00:08,831.17,-7.278359,112.792116,6,CXON,,223
3121,13:00:09,10,F,LAUNCH_PAD,0.0,16.1,89.4,3.78,2.25,2.12,4.54,4.37,1.18,-1.13,-0.85,13:00:09,196.0,-7.275102,112.794746,10,CXON,,41
3121,13:00:10,11,F,ASCENT,920.3,22.9,98.9,3.56,2.77,-0.59,-2.28,-0.2,-0.59,-1.18,-1.98,13:00:10,1167.62,-7.277033,112.793994,7,CXON,,26
3121,13:00:11,12,F,ASCENT,504.9,10.6,108.9,4.2,2.05,-1.27,-3.9,-0.95,-0.57,-1.84,-1.07,13:00:11,990.64,-7.276479,112.791245,11,CXON,,51
3121,13:00:12,13,F,ASCENT,1034.4,23.7,96.1,3.64,2.15,4.86,-3.39,-1.48,1.26,0.44,-0.05,13:00:12,1180.28,-7.27561,112.794308,9,CXON,,143
3121,13:00:13,14,F,ASCENT,1163.5,5.6,104.8,4.18,2.23,-1.15,0.24,1.37,1.37,-1.22,1.81,13:00:13,959.44,-7.274267,112.790668,9,CXON,,181
3121,13:00:14,15,F,ASCENT,1161.1,8.0,119.2,3.94,1.71,4.22,-2.06,3.28,-1.15,0.58,-1.27,13:00:14,395.07,-7.274475,112.793341,4,CXON,,148
3121,13:00:15,16,F,ASCENT,1083.9,24.3,88.8,3.77,2.72,-4.06,3.39,2.03,-0.91,-0.61,1.89,13:00:15,1090.25,-7.275517,112.794568,12,CXON,,15
3121,13:00:16,17,F,ASCENT,240.6,22.4,119.8,3.5,2.26,-3.45,3.69,-1.78,-1.9,-1.56,-1.61,13:00:16,751.58,-7.275823,112.794301,6,CXON,,131
3121,13:00:17,18,F,ASCENT,465.1,18.5,80.2,3.88,2.94,-1.38,-4.85,-3.55,0.7,0.46,1.63,13:00:17,911.61,-7.276977,112.792488,8,CXON,,189
3121,13:00:18,19,F,ASCENT,532.2,28.2,114.4,3.59,2.88,-3.98,1.35,1.34,-0.49,1.72,0.15,13:00:18,145.08,-7.276607,112.79304,12,CXON,,173
3121,13:00:19,20,F,ASCENT,269.2,18.1,84.3,4.1,1.53,2.81,1.09,1.55,0.89,-1.77,1.76,13:00:19,1042.74,-7.277314,112.797673,9,CXON,,254
3121,13:00:20,21,F,APOGEE,1003.3,26.6,88.3,4.19,2.42,0.83,2.78,-2.38,1.94,0.94,0.6,13:00:20,590.82,-7.280061,112.792997,12,CXON,,237
3121,13:00:21,22,F,APOGEE,1130.2,5.4,91.4,3.5,3.16,2.41,-3.69,3.98,1.71,1.13,0.81,13:00:21,801.61,-7.273268,112.791889,7,CXON,,88
3121,13:00:22,23,F,APOGEE,1035.6,35.2,110.6,4.13,2.74,-2.0,0.19,-1.8,-1.94,0.76,0.44,13:00:22,76.39,-7.274341,112.795279,11,CXON,,214
3121,13:00:23,24,F,APOGEE,1024.8,11.6,101.4,3.51,2.76,-2.05,4.77,-1.06,0.68,-0.86,-0.58,13:00:23,692.37,-7.278551,112.792643,11,CXON,,5
3121,13:00:24,25,F,APOGEE,1038.4,0.0,107.3,3.84,1.83,-3.1,-0.19,-1.95,-1.66,-0.86,1.43,13:00:24,852.66,-7.275601,112.794021,12,CXON,,75
